Id,Category
0,1
1,1
2,1
3,1
4,1
5,1
6,4
7,1
8,1
9,3
10,2
11,1
12,4
13,2
14,4
15,1
16,1
17,2
18,1
19,3
20,1
21,3
22,3
23,2
24,3
25,2
26,2
27,1
28,2
29,1
30,1
31,3
32,1
33,1
34,1
35,1
36,3
37,4
38,1
39,3
40,1
41,2
42,1
43,2
44,3
45,3
46,1
47,2
48,1
49,2
50,2
51,4
52,1
53,4
54,1
55,1
56,2
57,2
58,2
59,4
60,1
61,1
62,1
63,2
64,2
65,2
66,3
67,3
68,3
69,4
70,2
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,2
85,3
86,1
87,2
88,3
89,2
90,2
91,1
92,1
93,3
94,2
95,1
96,1
97,1
98,1
99,4
100,1
101,1
102,2
103,4
104,2
105,1
106,1
107,1
108,1
109,4
110,2
111,1
112,3
113,2
114,3
115,3
116,1
117,2
118,1
119,3
120,2
121,1
122,2
123,2
124,2
125,1
126,2
127,0
128,2
129,2
130,0
131,4
132,1
133,1
134,1
135,1
136,3
137,2
138,2
139,1
140,2
141,1
142,1
143,1
144,3
145,1
146,1
147,2
148,1
149,4
150,1
151,0
152,1
153,3
154,4
155,1
156,4
157,1
158,2
159,1
160,1
161,1
162,2
163,3
164,3
165,1
166,2
167,2
168,2
169,2
170,1
171,1
172,2
173,1
174,0
175,2
176,1
177,4
178,1
179,3
180,1
181,1
182,1
183,1
184,1
185,1
186,2
187,1
188,1
189,2
190,1
191,1
192,1
193,1
194,1
195,2
196,3
197,1
198,2
199,1
200,4
201,1
202,2
203,4
204,1
205,2
206,1
207,1
208,1
209,3
210,2
211,1
212,2
213,3
214,1
215,1
216,1
217,2
218,2
219,2
220,0
221,4
222,2
223,4
224,0
225,2
226,1
227,2
228,1
229,3
230,1
231,2
232,2
233,1
234,2
235,2
236,1
237,3
238,3
239,3
240,0
241,2
242,4
243,2
244,2
245,1
246,3
247,2
248,2
249,2
250,1
251,2
252,1
253,1
254,4
255,1
256,1
257,4
258,1
259,4
260,2
261,2
262,2
263,2
264,3
265,3
266,1
267,2
268,1
269,1
270,2
271,3
272,2
273,1
274,2
275,1
276,1
277,1
278,3
279,1
280,1
281,2
282,1
283,1
284,2
285,2
286,2
287,1
288,1
289,4
290,1
291,0
292,2
293,2
294,1
295,2
296,0
297,1
298,1
299,2
300,3
301,3
302,3
303,1
304,1
305,1
306,1
307,4
308,2
309,2
310,3
311,1
312,3
313,1
314,1
315,2
316,4
317,1
318,2
319,4
320,1
321,2
322,1
323,1
324,1
325,1
326,2
327,1
328,1
329,1
330,1
331,2
332,1
333,1
334,3
335,1
336,3
337,2
338,2
339,2
340,2
341,1
342,1
343,2
344,2
345,3
346,2
347,2
348,1
349,0
350,1
351,2
352,1
353,1
354,4
355,0
356,2
357,1
358,1
359,1
360,2
361,1
362,1
363,1
364,1
365,3
366,1
367,3
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,3
376,2
377,1
378,2
379,1
380,3
381,3
382,1
383,1
384,1
385,1
386,1
387,4
388,1
389,1
390,2
391,1
392,3
393,2
394,2
395,1
396,1
397,2
398,1
399,3
400,2
401,4
402,1
403,1
404,1
405,1
406,2
407,3
408,1
409,1
410,1
411,4
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,4
420,3
421,1
422,1
423,0
424,1
425,3
426,1
427,2
428,3
429,1
430,1
431,3
432,3
433,1
434,1
435,2
436,1
437,3
438,4
439,2
440,1
441,2
442,3
443,1
444,1
445,3
446,1
447,1
448,2
449,0
450,2
451,3
452,1
453,2
454,3
455,1
456,1
457,4
458,1
459,1
460,1
461,1
462,1
463,2
464,2
465,1
466,2
467,2
468,2
469,2
470,2
471,3
472,1
473,1
474,1
475,2
476,2
477,1
478,1
479,1
480,1
481,1
482,0
483,2
484,1
485,0
486,1
487,2
488,4
489,1
490,1
491,1
492,3
493,2
494,1
495,3
496,1
497,1
498,3
499,1
500,1
501,1
502,3
503,1
504,1
505,0
506,4
507,1
508,0
509,3
510,2
511,1
512,1
513,4
514,1
515,3
516,2
517,1
518,3
519,3
520,1
521,1
522,1
523,2
524,1
525,4
526,1
527,3
528,2
529,1
530,2
531,1
532,1
533,2
534,1
535,2
536,2
537,1
538,3
539,2
540,3
541,1
542,2
543,2
544,1
545,2
546,0
547,1
548,4
549,1
550,4
551,4
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,2
563,1
564,4
565,1
566,1
567,0
568,1
569,3
570,2
571,3
572,1
573,2
574,1
575,2
576,1
577,4
578,2
579,1
580,1
581,2
582,1
583,1
584,2
585,1
586,1
587,1
588,1
589,3
590,2
591,2
592,1
593,1
594,1
595,4
596,3
597,3
598,1
599,3
600,1
601,2
602,2
603,1
604,2
605,1
606,3
607,1
608,2
609,2
610,2
611,1
612,2
613,2
614,0
615,1
616,2
617,2
618,1
619,1
620,1
621,1
622,1
623,4
624,0
625,1
626,3
627,1
628,1
629,2
630,1
631,1
632,2
633,1
634,1
635,1
636,3
637,1
638,1
639,1
640,1
641,1
642,4
643,2
644,4
645,4
646,1
647,2
648,1
649,3
650,3
651,4
652,1
653,0
654,2
655,1
656,2
657,2
658,2
659,1
660,1
661,1
662,2
663,2
664,3
665,4
666,1
667,1
668,3
669,4
670,3
671,1
672,1
673,1
674,3
675,3
676,1
677,3
678,1
679,3
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,2
688,0
689,1
690,1
691,0
692,1
693,1
694,2
695,3
696,3
697,1
698,3
699,2
700,0
701,1
702,2
703,3
704,1
705,1
706,1
707,2
708,2
709,1
710,2
711,0
712,1
713,2
714,1
715,0
716,1
717,1
718,1
719,2
720,2
721,4
722,0
723,2
724,4
725,2
726,3
727,2
728,2
729,2
730,3
731,1
732,4
733,1
734,1
735,2
736,1
737,4
738,2
739,2
740,2
741,1
742,1
743,2
744,4
745,1
746,4
747,3
748,3
749,2
750,1
751,1
752,1
753,1
754,1
755,2
756,1
757,2
758,1
759,3
760,3
761,1
762,1
763,2
764,3
765,1
766,1
767,3
768,2
769,1
770,3
771,2
772,1
773,1
774,3
775,4
776,1
777,3
778,3
779,3
780,3
781,1
782,1
783,1
784,1
785,2
786,1
787,1
788,2
789,0
790,1
791,1
792,2
793,0
794,1
795,2
796,2
797,1
798,4
799,1
800,1
801,2
802,1
803,3
804,2
805,1
806,1
807,2
808,1
809,2
810,1
811,2
