Id,Category,
0,1,
1,1,
2,3,
3,0,
4,0,
5,1,
6,3,
7,3,
8,3,
9,1,
10,3,
11,3,
12,4,
13,2,
14,4,
15,3,
16,0,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
24,3,
25,3,
26,0,
27,0,
28,3,
29,4,
30,3,
31,3,
32,3,
33,3,
34,3,
35,0,
36,3,
37,3,
38,3,
39,3,
40,3,
41,3,
42,3,
43,3,
44,3,
45,3,
46,0,
47,3,
48,1,
49,3,
50,0,
51,4,
52,0,
53,1,
54,3,
55,3,
56,3,
57,3,
58,3,
59,4,
60,3,
61,3,
62,3,
63,0,
64,3,
65,3,
66,3,
67,3,
68,3,
69,3,
70,2,
71,3,
72,3,
73,0,
74,3,
75,3,
76,3,
77,1,
78,3,
79,3,
80,3,
81,3,
82,3,
83,3,
84,0,
85,3,
86,3,
87,3,
88,3,
89,2,
90,3,
91,0,
92,3,
93,3,
94,3,
95,1,
96,3,
97,0,
98,3,
99,4,
100,0,
101,1,
102,3,
103,4,
104,3,
105,0,
106,1,
107,3,
108,2,
109,4,
110,3,
111,3,
112,3,
113,3,
114,3,
115,3,
116,3,
117,3,
118,0,
119,3,
120,3,
121,3,
122,3,
123,3,
124,3,
125,1,
126,2,
127,0,
128,3,
129,3,
130,3,
131,3,
132,3,
133,0,
134,1,
135,3,
136,3,
137,2,
138,3,
139,3,
140,2,
141,3,
142,1,
143,2,
144,3,
145,3,
146,1,
147,3,
148,4,
149,4,
150,3,
151,3,
152,0,
153,3,
154,3,
155,3,
156,3,
157,1,
158,1,
159,3,
160,3,
161,3,
162,2,
163,3,
164,3,
165,1,
166,3,
167,3,
168,2,
169,4,
170,0,
171,1,
172,3,
173,3,
174,3,
175,3,
176,1,
177,3,
178,3,
179,3,
180,4,
181,3,
182,3,
183,3,
184,4,
185,0,
186,3,
187,1,
188,0,
189,3,
190,3,
191,1,
192,1,
193,3,
194,3,
195,3,
196,3,
197,3,
198,2,
199,3,
200,3,
201,0,
202,3,
203,0,
204,3,
205,3,
206,0,
207,3,
208,3,
209,3,
210,3,
211,1,
212,3,
213,3,
214,3,
215,3,
216,1,
217,3,
218,0,
219,3,
220,0,
221,4,
222,0,
223,3,
224,3,
225,2,
226,1,
227,3,
228,3,
229,3,
230,0,
231,3,
232,0,
233,3,
234,3,
235,3,
236,3,
237,3,
238,3,
239,3,
240,3,
241,3,
242,1,
243,1,
244,3,
245,3,
246,3,
247,3,
248,0,
249,2,
250,3,
251,0,
252,3,
253,3,
254,4,
255,1,
256,4,
257,3,
258,3,
259,3,
260,3,
261,3,
262,0,
263,3,
264,3,
265,0,
266,0,
267,3,
268,1,
269,2,
270,2,
271,1,
272,3,
273,4,
274,3,
275,3,
276,3,
277,3,
278,3,
279,3,
280,3,
281,3,
282,1,
283,1,
284,0,
285,3,
286,3,
287,1,
288,1,
289,3,
290,3,
291,3,
292,3,
293,3,
294,3,
295,3,
296,3,
297,3,
298,0,
299,3,
300,3,
301,3,
302,3,
303,3,
304,3,
305,3,
306,1,
307,4,
308,3,
309,3,
310,3,
311,0,
312,3,
313,3,
314,3,
315,3,
316,3,
317,3,
318,3,
319,4,
320,1,
321,3,
322,0,
323,1,
324,3,
325,3,
326,3,
327,1,
328,3,
329,3,
330,2,
331,3,
332,3,
333,0,
334,3,
335,3,
336,3,
337,3,
338,3,
339,3,
340,3,
341,3,
342,3,
343,0,
344,3,
345,3,
346,3,
347,0,
348,3,
349,1,
350,3,
351,2,
352,3,
353,0,
354,4,
355,0,
356,3,
357,3,
358,3,
359,0,
360,3,
361,3,
362,3,
363,3,
364,4,
365,0,
366,3,
367,3,
368,3,
369,1,
370,3,
371,0,
372,3,
373,3,
374,3,
375,3,
376,3,
377,3,
378,3,
379,3,
380,3,
381,3,
382,3,
383,1,
384,1,
385,3,
386,0,
387,4,
388,0,
389,3,
390,3,
391,3,
392,3,
393,3,
394,2,
395,3,
396,1,
397,0,
398,3,
399,3,
400,3,
401,4,
402,0,
403,3,
404,2,
405,1,
406,3,
407,3,
408,0,
409,3,
410,3,
411,1,
412,3,
413,1,
414,0,
415,3,
416,3,
417,3,
418,3,
419,3,
420,3,
421,3,
422,3,
423,3,
424,3,
425,3,
426,3,
427,3,
428,3,
429,3,
430,3,
431,3,
432,3,
433,1,
434,2,
435,3,
436,3,
437,3,
438,3,
439,3,
440,0,
441,3,
442,3,
443,3,
444,0,
445,3,
446,1,
447,3,
448,3,
449,3,
450,3,
451,3,
452,3,
453,3,
454,3,
455,0,
456,3,
457,4,
458,3,
459,3,
460,1,
461,3,
462,4,
463,1,
464,3,
465,3,
466,2,
467,0,
468,3,
469,3,
470,3,
471,3,
472,0,
473,3,
474,3,
475,3,
476,3,
477,0,
478,1,
479,3,
480,3,
481,3,
482,3,
483,0,
484,1,
485,3,
486,0,
487,3,
488,3,
489,3,
490,1,
491,4,
492,3,
493,3,
494,3,
495,3,
496,3,
497,3,
498,3,
499,2,
500,3,
501,3,
502,3,
503,3,
504,4,
505,3,
506,3,
507,3,
508,0,
509,3,
510,3,
511,1,
512,1,
513,3,
514,3,
515,3,
516,3,
517,3,
518,3,
519,3,
520,3,
521,1,
522,3,
523,3,
524,3,
525,1,
526,3,
527,3,
528,1,
529,0,
530,3,
531,3,
532,3,
533,3,
534,3,
535,3,
536,3,
537,3,
538,3,
539,3,
540,3,
541,3,
542,3,
543,3,
544,3,
545,3,
546,0,
547,2,
548,1,
549,4,
550,4,
551,4,
552,3,
553,3,
554,0,
555,3,
556,3,
557,2,
558,3,
559,3,
560,3,
561,3,
562,3,
563,1,
564,0,
565,0,
566,1,
567,0,
568,3,
569,3,
570,0,
571,1,
572,3,
573,0,
574,3,
575,3,
576,3,
577,4,
578,3,
579,0,
580,1,
581,3,
582,3,
583,3,
584,3,
585,0,
586,3,
587,1,
588,1,
589,3,
590,2,
591,3,
592,3,
593,3,
594,1,
595,4,
596,3,
597,3,
598,3,
599,3,
600,3,
601,3,
602,3,
603,3,
604,3,
605,3,
606,3,
607,3,
608,3,
609,3,
610,2,
611,3,
612,3,
613,3,
614,3,
615,3,
616,0,
617,3,
618,3,
619,3,
620,0,
621,1,
622,3,
623,3,
624,3,
625,3,
626,3,
627,3,
628,0,
629,0,
630,3,
631,3,
632,4,
633,1,
634,3,
635,3,
636,3,
637,3,
638,3,
639,0,
640,4,
641,0,
642,4,
643,3,
644,4,
645,4,
646,1,
647,3,
648,3,
649,3,
