Id,Text,Category
5,jetzt wirds aber wirklich erdig heute stell ich euch die,3
7, auf pc,3
18,Was fÃ¼r eine Mail Was soll da drin stehen,3
21,jow sollte aufgeben hat kein sinn mehr sehr schade die,3
22,hallo zusammen Ich hoffe Ihr kÃ¶nnt mir helfen Leider klappt,3
23,Ja das sehe ich genauso Also ist es doch nicht,3
34,also das finde selbst ich grausam gesungen,3
46,Wann Ã¤uÃŸert Apple sich dazu Sollte man das System nun,3
47,Habe letzte Woche versucht auf meinem MacBook Pro OSSierra Update,3
58,Ich komme nun dazu GnÃ¤digster Herr Das Frauenzimmer das ihn,3
63,Okay dann Ã¶ffne doch mal zb in Safari auf deinem,3
72,Ein wenig GnÃ¤digster Herr,3
73,Bei mir war es genauso ein ebook aus der onleihe,3
82,lustige palmenfisur die der sÃ¤nger da hat,3
101,Jetzt kopier dir aus obigem Link eine Textzeile raus und,3
106,Nicht doch Liebe Gib sie heraus Sie brauchen StÃ¤rkung nicht,3
113,GrÃ¤fin â€“ GrÃ¤fin â€“ sind Sie ganz von Sinnen,3
126,Na Warum denn,3
128,Habe alles gecheckt Daten passen,3
134,Warum will sie nicht einsteigen Oder lÃ¤sst man sie nicht,3
146,Habe hier das selbe Problem auf meinem  Plus Von,3
154,Oder in Gold,3
164,Komm hervor sag ich es ist eine andre Arbeit fÃ¼r,3
167,Das Update wird nicht in allen LÃ¤ndern zugleich angeboten sonst,3
177,Ok kann gerade nicht sagen warum die Liste so lang,3
191,Bassanio schenkte seinen Ring dem Richter Der darum bat und,3
195,Gebt ihm nach Geht,3
207,Jetzt bin ich unzufrieden,3
226,Sorry hab den falschen Link erwischt Hier der richtige httpssupportapplecomdedehthttpssupportapplecomdedeht,3
232,Vielleicht hat Hamed einfach seine Mama vermisst und als Vorwand,3
235,Damit sie Dich mit Eiern und Tomaten bewerfen,3
239,Womit du sicherlich Recht hast Aber der heutige Mensch kann,3
246,ist auch krass im rialto becher geschichtet Galliano Creme de,3
250,so antreten zum Slalom der Sturz von Lanning zum GlÃ¼ck,3
251,Hallo kathodedanke dass du dich mit deiner Anfrage an die,3
253,Â»Der wird gleich gesundÂ«,3
256,Danke fÃ¼r die schnelle Antwort es war die iCloud Fotomediathek,3
264,Ich hab bei Ebay ein defektes  GB Ipad Air,3
287,Ja konnte ihn doch nicht gleich so benennen dann wÃ¤re,3
291,Viel zu dÃ¼nn,3
292,Da mÃ¼sstest du mal die Anleitung des Flexound lesen Dieser,3
295,URL,3
297,Das ist nicht das Problem Bei anderen Benutzern auf dem,3
321,Die Post also ist noch nicht da,3
331,Wohin,3
339,Davon war auch nicht auszugehen Vielleicht bekommt der JustizGutachter auch,3
343,Was will das sagen,3
348,Nun sage was willst du,3
369,Wer muÃŸ selbst mit mir sprechen Wen seh ich Ist,3
374,Katrin ist aus dem urlaub zurÃ¼ck und hat kurz Stellung,3
426,Mit der Auswahl wÃ¤re ich auch sehr zufrieden Kleine Frage,3
440,HalloÃ¶ffne auf deinem iPhone oder iPad die EinstellungenKlicke dann oben,3
443,Ok trotzdem danke schÃ¶n fÃ¼r deine MÃ¼he SchÃ¶nen Abend noch,3
455,Hallo Lotharich habe die Anzeige auf meinem iPhone Ã¼berhaupt nicht,3
456,Ich konnte auf meinem iMac kein Album teilen Das erstellen,3
462,Ich wollte eine App Downloaden und der SMS BestÃ¤tigungscode wird,3
478,Noch eine ErgÃ¤nzung Der Kommandozeilenbefehl diskutil zeigt folgendes andevdisk external,3
487,Samson hat seine Locken gelassennun ist die Manneskraft dahin,3
490,Danke schÃ¶n u werde ich machen,3
502, Jesse  Fabienne  Daniele  Luca  Joey,3
505,Ev kommt der Fehler auch weil keine Internetverbindung vorhanden ist,3
510,vielen Dank fuer die Hinweise Habe alles so ausgefuehrt aber,3
512,Hallo Marcohildekannst du denn die Einstellungen fÃ¼r Facetime nicht Ã¤ndern,3
533,URL,3
535,Es ist wahr Henriette weiÃŸ sich frei und witzig auszudrÃ¼cken,3
544,Kein iOS  Hallo Bis heute wurde auf meinem Ipad,3
553,ja die pressekonferenz kommt gleich sie mussten auf den innenminister,3
557,Resetten httppraxistippschipdeapplewatchaufwerkseinstellungzuruecksetzensogeh tshttppraxistippschipdeapplewatchaufwerkseinstellungzuruecksetzensogeh ts,3
563,meinen hp  Cxi mÃ¶chte ich nicht missen druckt seit,3
565,Hallo Arkidalus hast du schon eine positive Erfahrung mit der,3
566,Hi Berlindude vielen Dank fÃ¼r Deine Antwort Stimmt im ,3
568,Magst das mal bitte testenhttpstelekomhilfttelekomdetSonstigesSpeedportWVsendetkeineEMail smitderEndungicloudcomtdphttpstelekomhilfttelekomdetSonstigesSpeedportWVsendetkeineEMail smitderEndungicloudcomtdp,3
573,Katrin wird nicht bei Nu Pagadi einsteigen wie man heute,3
585,,3
591,Das lÃ¤ÃŸt sich hÃ¶ren,3
593,Ist es wahr daÃŸ der Prinz heute morgen Emilien in,3
602,Wurde schon ein erzwungener Neustart durchgefÃ¼hrtDazu die Home und die,3
621,Bei meiner Ehre nein bei meiner Seele Kein Weib bekam,3
630,Wenn die jetzt Evanescence singt,3
634,Ich versichere daÃŸ ich seiner nicht bin,3
639,Wobei mir auffÃ¤llt ich hab auch keine Gardineneigentlich Ich sollte,3
644,Antonio alter Shylock tretet vor,3
662,Nicht nÃ¤her UnglÃ¼ckliche Deine Arzeneien sind Gift,3
678,Nachtrag Falls du noch iTunes Guthaben auf deiner ID haben,3
686,Seit der Zeit hat sich Vieles geÃ¤ndert,3
688,bin da,3
690,Ich will Kurt KrÃ¶mer Dann wÃ¤re die Sendung wenigstens lustig,3
701,Ei ei Graziano wo sind all die andern Es ist,3
704,Was hat Katrin eigentlich zu Rosalie gemeint Habs nich gehÃ¶rt,3
713,Oh geh du bist eine artige Richterin Hast du schon,3
716,Plage seinen Geist nicht O laÃŸ ihn seinen Weg gehen,3
720,Hallo Ueli erstmals vielen Dank fÃ¼r deine Antwort Wie das,3
723,gerade gar nicht gelesen Ich habe ja ein wenig Probleme,3
729,Schmerzen MiÃŸ aber angenehme Schmerzen,3
732,Stellen Sie sich deswegen zufrieden Sie haben nur eine sehr,3
737,War das jetzt ironisch gemeint,3
746,Wenn das kein autorisierter Reseller oder Partner von Apple ist,3
752,Genau das mit der Liste meinte ich Mein Bruder hat,3
759,Ein Bekannter von mir hat bei seinem AppleAccount eine Telefonnumer,3
778,Ich bin mal gespannt ob man in den Liveshows wie,3
798,In einem Interview bei DWDL meinte die Produzentin von Grundy,3
801,Zeitzonen stimmen jetz auf mac und handy Ã¼berein aber leider,3
