Id,Text,Category
17,Ty Suza ale dlaczego z nim,4
19,Niech nie przychodzi Zawsze przynosi tylko zÅ‚e wieÅ›ci Nie lubiÄ™,4
28,MoÅ¼ni ksiÄ…Å¼Ä™ta Gloster i Buckingham,4
84,Lucjanie przecieÅ¼ miaÅ‚eÅ›â€¦,4
93,Jak w wojsku,4
116,Åšwietnie WiÄ™c Pan D ma kochankÄ™â€¦ powiedzmy PaniÄ… C I,4
130,Zabieram ciÄ™ na prÃ³bÄ™ generalnÄ…,4
216,Tak tak mogÄ™ dodaÄ‡ tylko najsuchszy botaniczny opis tytoniu,4
241,Tak Ale oni majÄ… siÅ‚Ä™ potÄ™gÄ™ pieniÄ…dze a my Nam,4
242,Jeden z pociskiem drugi Å›lepy Åšlepy siÄ™ nie liczy,4
255,Przyjmijcie wiÄ™c z spokojem nasz podarek,4
317,Tu caÅ‚y sÄ™k miÅ‚y kuzynie,4
355,A my chcieliÅ›my iÅ›Ä‡ do filharmonii ale nie byliÅ›my,4
356,Wiesz czego ja nigdy w Å¼yciu nie zapomnÄ™ PamiÄ™tasz jak,4
363,Jak i nikogo z tych co tu obecni PrzekleÅ„stwa bowiem,4
379,Niestety mam dla pana bardzo zÅ‚e wiadomoÅ›ci Pacjentka nie ma,4
382,Spi Sceledrus,4
394,NiechÅ¼e ci za to Pan BÃ³g bÅ‚ogosÅ‚awi,4
404,Teraz niech pan weÅºmie piÃ³ro i pisze kwit,4
406,To nie tak jak mama myÅ›li,4
430,Zrobisz chÅ‚opie karierÄ™,4
445,Domanie powiedz mi proszÄ™ Tylko szczerze czy ty mnie kochasz,4
467,Nie przesadzaj po co,4
504,DotÄ…d istnieje Trzeba by ich kiedyÅ› sprowadziÄ‡ do nas urzÄ…dziÄ‡,4
506,SkÄ…d ja ci wezmÄ™ drzewo Å¼ywiczne w tym bloku Tutaj,4
519,KÅ‚aniam siÄ™ najuprzejmiej Pan SzmaciÅ„ski prosiÅ‚ Å¼eby Pan do niego,4
588,DziÄ™kujÄ™ mamo,4
600,MylÄ™ siÄ™ przebiÅ‚eÅ› mu boki,4
649,MamÅ¼e pÃ³jÅ›Ä‡ skÅ‚oniÄ‡ cÃ³rkÄ™ do twych Å¼yczeÅ„,4
656,Wiesz co nie ale moÅ¼e Damian jakoÅ› pomoÅ¼e,4
664,DziÅ› proponujÄ™ tylko anielskÄ… cierpliwoÅ›Ä‡,4
668,Wcae nie gÅ‚upstwo Alkohol i tytoÅ„ zabijajÄ… osobowoÅ›Ä‡ Po cygarze,4
677,Zaczniesz Wprowadzili karÄ™ Å›mierci,4
700,PoÅ›pieszyli zapewne na przyjÄ™cie ksiÄ™cia durniu Ani mi gadaj Å¼e,4
730,Znamy wszystkie twoje gÅ‚Ä™bokie ciemne sekrety,4
760,Jak sobie przypomnÄ™ GÅ±nthera oj kurwa Å¼eby tak wszystko zapomnieÄ‡,4
793,Przybite Wobec tego iÅ¼ Å¼egnam SÅ‚uga Å‚askawego dobrodzieja pa do,4
838,Trupio blady i ma na gÅ‚owie kapelusz,4
841,Czy Istvan wrÃ³ciÅ‚,4
858,,4
871,Halo czy mogÄ™ prosiÄ‡ Zbyszka To ty Zbyszku PamiÄ™tasz byliÅ›my,4
893,Jakby ci powiedzieÄ‡ ByÅ‚y teÅ¼ inne powody Wiadomo czÅ‚owiek mÅ‚ody,4
